Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,rDefaultA_pCunPCC_1,corrected,0.67980234,0.71980234,0.413164478,0.06825369,290
UNIBA2_RS,rDefaultA_PFCd_1,standard,0.01687566,0.05687566,-2.403547199,0.06440481,290
UNIBA2_RS,rDefaultA_PFCd_1,corrected,0.04614765,0.08614765,-2.002938614,0.068299647,290
UNIBA2_RS,rDefaultA_PFCm_1,standard,0.00760248,0.04760248,-2.688383774,0.064388129,290
UNIBA2_RS,rDefaultA_PFCm_1,corrected,0.08615247,0.12615247,-1.722117908,0.068288007,290
UNIBA2_RS,rDefaultB_PFCd_1,standard,0.02151152,0.06151152,-2.311625229,0.064413556,290
UNIBA2_RS,rDefaultB_PFCd_1,corrected,0.06550399,0.10550399,-1.849053939,0.0683052,290
UNIBA2_RS,rDefaultB_PFCv_1,standard,0.07206253,0.11206253,-1.805430377,0.064416774,290
UNIBA2_RS,rDefaultB_PFCv_1,corrected,0.43711067,0.47711067,-0.778195818,0.068234754,290
UNIBA2_RS,rDefaultB_PFCv_2,standard,0.00777205,0.04777205,-2.680819883,0.064420591,290
UNIBA2_RS,rDefaultB_PFCv_2,corrected,0.03350808,0.07350808,-2.136469572,0.068290231,290
UNIBA2_RS,rDefaultC_PHC_1,standard,0.01827951,0.05827951,-2.373581049,0.064417434,290
UNIBA2_RS,rDefaultC_PHC_1,corrected,0.05256896,0.09256896,-1.94671369,0.068268899,290
UNIBA2_RS,rDefaultC_Rsp_1,standard,0.16887323,0.20887323,-1.379333792,0.064378906,290
UNIBA2_RS,rDefaultC_Rsp_1,corrected,0.17602024,0.21602024,-1.356539741,0.068261915,290
UNIBA2_RS,rDorsAttnA_ParOcc_1,standard,0.40940603,0.44940603,-0.826157135,0.064394529,290
UNIBA2_RS,rDorsAttnA_ParOcc_1,corrected,0.59328831,0.63328831,-0.534690367,0.068263807,290
UNIBA2_RS,rDorsAttnA_SPL_1,standard,0.80253955,0.84253955,-0.250295006,0.064324096,290
UNIBA2_RS,rDorsAttnA_SPL_1,corrected,0.80551792,0.84551792,-0.246445556,0.068169215,290
UNIBA2_RS,rDorsAttnA_TempOcc_1,standard,0.4950034,0.5350034,-0.68325086,0.064398016,290
UNIBA2_RS,rDorsAttnA_TempOcc_1,corrected,0.89725126,0.93725126,-0.129251731,0.068084195,290
UNIBA2_RS,rDorsAttnB_FEF_1,standard,0.36661068,0.40661068,-0.904280016,0.064360595,290
UNIBA2_RS,rDorsAttnB_FEF_1,corrected,0.55887965,0.59887965,-0.585207298,0.068351847,290
UNIBA2_RS,rDorsAttnB_PostC_1,standard,0.64708145,0.68708145,-0.458306596,0.064367391,290
