Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,rDefaultA_PFCd_1,corrected,0.768814767,0.997912684,0.294441176,0.183947296,165
UCLA_REST_BD_adj,rDefaultA_PFCm_1,standard,0.389350226,0.997912684,0.863144096,0.178798988,165
UCLA_REST_BD_adj,rDefaultA_PFCm_1,corrected,0.319748598,0.997912684,0.998178406,0.183949047,165
UCLA_REST_BD_adj,rDefaultB_PFCd_1,standard,0.666625597,0.997912684,0.43158286,0.178798007,165
UCLA_REST_BD_adj,rDefaultB_PFCd_1,corrected,0.701156824,0.997912684,0.384470372,0.183947412,165
UCLA_REST_BD_adj,rDefaultB_PFCv_1,standard,0.293717861,0.997912684,-1.053461401,0.178799627,165
UCLA_REST_BD_adj,rDefaultB_PFCv_1,corrected,0.297269456,0.997912684,-1.045826246,0.183949234,165
UCLA_REST_BD_adj,rDefaultB_PFCv_2,standard,0.724173141,0.997912684,0.353507796,0.178797898,165
UCLA_REST_BD_adj,rDefaultB_PFCv_2,corrected,0.753600149,0.997912684,0.314452636,0.183947318,165
UCLA_REST_BD_adj,rDefaultC_PHC_1,standard,0.347142211,0.997912684,0.942922345,0.17879924,165
UCLA_REST_BD_adj,rDefaultC_PHC_1,corrected,0.39037552,0.997912684,0.861350565,0.183948558,165
UCLA_REST_BD_adj,rDefaultC_Rsp_1,standard,0.992552291,0.997912684,0.009349052,0.178797697,165
UCLA_REST_BD_adj,rDefaultC_Rsp_1,corrected,0.895689446,0.997912684,0.131323825,0.183947163,165
UCLA_REST_BD_adj,rDorsAttnA_ParOcc_1,standard,0.570851345,0.997912684,-0.567970255,0.178798245,165
UCLA_REST_BD_adj,rDorsAttnA_ParOcc_1,corrected,0.551323395,0.997912684,-0.59708264,0.183947815,165
UCLA_REST_BD_adj,rDorsAttnA_SPL_1,standard,0.165032209,0.997912684,1.394724664,0.178801089,165
