Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_SCAP_BD_adj,rSalVentAttnB_IPL_1,corrected,0.18661557,0.997912684,1.326529316,0.186679613,165
UCLA_SCAP_BD_adj,rSalVentAttnB_PFCl_1,standard,0.632791225,0.997912684,0.47872022,0.178798082,165
UCLA_SCAP_BD_adj,rSalVentAttnB_PFCl_1,corrected,0.458416067,0.997912684,0.743315175,0.18667726,165
UCLA_SCAP_BD_adj,rSalVentAttnB_PFCmp_1,standard,0.297527789,0.997912684,-1.045154962,0.178799597,165
UCLA_SCAP_BD_adj,rSalVentAttnB_PFCmp_1,corrected,0.424489039,0.997912684,-0.800772589,0.186677433,165
UCLA_SCAP_BD_adj,rSomMotA_1,standard,0.624331426,0.997912684,0.490670996,0.178798102,165
UCLA_SCAP_BD_adj,rSomMotA_1,corrected,0.521999752,0.997912684,0.641724803,0.186676984,165
UCLA_SCAP_BD_adj,rSomMotA_2,standard,0.950282661,0.997912684,-0.062449702,0.178797682,165
UCLA_SCAP_BD_adj,rSomMotA_2,corrected,0.690560972,0.997912684,0.398838716,0.186676488,165
UCLA_SCAP_BD_adj,rSomMotA_3,standard,0.978167994,0.997912684,0.027408601,0.178797668,165
UCLA_SCAP_BD_adj,rSomMotA_3,corrected,0.619328944,0.997912684,0.497802253,0.186676664,165
UCLA_SCAP_BD_adj,rSomMotA_4,standard,0.087949799,0.997912684,-1.716805772,0.178802836,165
UCLA_SCAP_BD_adj,rSomMotA_4,corrected,0.194566654,0.997912684,-1.302825281,0.186679491,165
UCLA_SCAP_BD_adj,rSomMotB_Aud_1,standard,0.752594376,0.997912684,0.315762387,0.178797853,165
UCLA_SCAP_BD_adj,rSomMotB_Aud_1,corrected,0.608368517,0.997912684,0.513448802,0.186676694,165
UCLA_SCAP_BD_adj,rSomMotB_Cent_1,standard,0.252490394,0.997912684,1.148465864,0.178799994,165
UCLA_SCAP_BD_adj,rSomMotB_Cent_1,corrected,0.131257292,0.997912684,1.517183367,0.186680666,165
UCLA_SCAP_BD_adj,rSomMotB_S2_1,standard,0.800737348,0.997912684,-0.25281285,0.178797791,165
UCLA_SCAP_BD_adj,rSomMotB_S2_1,corrected,0.890799716,0.997912684,-0.13751816,0.186676211,165
UCLA_SCAP_BD_adj,rSomMotB_S2_2,standard,0.360602574,0.997912684,0.916847258,0.178799156,165
UCLA_SCAP_BD_adj,rSomMotB_S2_2,corrected,0.235713174,0.997912684,1.190389803,0.186678945,165
UCLA_SCAP_BD_adj,rTempPar_1,standard,0.161784084,0.997912684,-1.405592214,0.178801143,165
UCLA_SCAP_BD_adj,rTempPar_1,corrected,0.298862191,0.997912684,-1.042372274,0.186678302,165
UCLA_SCAP_BD_adj,rTempPar_2,standard,0.965526337,0.997912684,-0.043287491,0.178797682,165
UCLA_SCAP_BD_adj,rTempPar_2,corrected,0.794581593,0.997912684,0.260814711,0.186676311,165
UCLA_SCAP_BD_adj,rTempPar_3,standard,0.88304701,0.997912684,-0.147342732,0.178797716,165
UCLA_SCAP_BD_adj,rTempPar_3,corrected,0.921972379,0.997912684,0.09810915,0.186676197,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_1,standard,0.976322649,0.997912684,-0.029725967,0.178797684,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_1,corrected,0.843646041,0.997912684,-0.197562734,0.186676253,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_2,standard,0.38254856,0.997912684,-0.875621292,0.178799026,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_2,corrected,0.539178476,0.997912684,-0.615422221,0.186676919,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_3,standard,0.390115286,0.997912684,0.861749064,0.178798984,165
UCLA_SCAP_BD_adj,rVisCent_ExStr_3,corrected,0.368858043,0.997912684,0.901241724,0.186677766,165
UCLA_SCAP_BD_adj,rVisPeri_ExStrInf_1,standard,0.394200175,0.997912684,-0.854328794,0.178798961,165
UCLA_SCAP_BD_adj,rVisPeri_ExStrInf_1,corrected,0.585929491,0.997912684,-0.545885434,0.186676762,165
UCLA_SCAP_BD_adj,rVisPeri_ExStrSup_1,standard,0.459935493,0.997912684,0.740742144,0.178798643,165
UCLA_SCAP_BD_adj,rVisPeri_ExStrSup_1,corrected,0.275603466,0.997912684,1.094111449,0.186678517,165
UCLA_SCAP_BD_adj,rVisPeri_StriCal_1,standard,0.196810161,0.997912684,-1.296092222,0.178800626,165
UCLA_SCAP_BD_adj,rVisPeri_StriCal_1,corrected,0.286160074,0.997912684,-1.070273361,0.186678416,165
