MotionParameter,Scan,PC,Loadings
15.max_eu_rel,NB,PC5,0.08
04.mean_rY,RS,PC3,0.08
15.max_eu_rel,RS,PC1,0.08
02.mean_rZ,NB,PC4,0.08
12.mean_X,FI,PC3,0.09
12.mean_X,RS,PC5,0.09
11.max_X,NB,PC5,0.09
17.max_eu,FI,PC4,0.09
04.mean_rY,RS,PC4,0.09
13.max_FD,FI,PC4,0.09
01.max_rZ,FI,PC1,0.10
08.mean_Z,FI,PC5,0.10
11.max_X,FI,PC1,0.10
08.mean_Z,FI,PC4,0.10
11.max_X,RS,PC5,0.10
17.max_eu,FI,PC5,0.11
15.max_eu_rel,FI,PC5,0.11
13.max_FD,NB,PC5,0.11
11.max_X,NB,PC1,0.11
03.max_rY,RS,PC3,0.12
11.max_X,FI,PC3,0.12
06.mean_rX,FI,PC3,0.12
13.max_FD,RS,PC3,0.12
07.max_Z,FI,PC5,0.12
03.max_rY,FI,PC1,0.13
07.max_Z,FI,PC4,0.13
09.max_Y,RS,PC5,0.13
02.mean_rZ,FI,PC5,0.14
11.max_X,RS,PC2,0.14
17.max_eu,NB,PC4,0.14
01.max_rZ,FI,PC5,0.15
01.max_rZ,RS,PC4,0.15
17.max_eu,RS,PC3,0.15
15.max_eu_rel,NB,PC2,0.15
05.max_rX,RS,PC5,0.15
13.max_FD,NB,PC2,0.16
17.max_eu,NB,PC3,0.16
06.mean_rX,RS,PC1,0.17
03.max_rY,RS,PC4,0.17
06.mean_rX,NB,PC5,0.17
17.max_eu,NB,PC1,0.18
05.max_rX,NB,PC5,0.19
06.mean_rX,RS,PC5,0.19
05.max_rX,RS,PC2,0.19
18.mean_eu,RS,PC3,0.19
05.max_rX,FI,PC1,0.20
17.max_eu,RS,PC2,0.20
08.mean_Z,RS,PC4,0.20
17.max_eu,RS,PC4,0.20
18.mean_eu,NB,PC3,0.21
15.max_eu_rel,RS,PC4,0.22
07.max_Z,NB,PC1,0.22
07.max_Z,RS,PC2,0.22
18.mean_eu,FI,PC2,0.22
10.mean_Y,RS,PC5,0.23
05.max_rX,NB,PC1,0.23
18.mean_eu,NB,PC4,0.24
13.max_FD,FI,PC5,0.25
07.max_Z,FI,PC1,0.27
09.max_Y,NB,PC1,0.28
17.max_eu,FI,PC1,0.29
13.max_FD,RS,PC4,0.29
07.max_Z,RS,PC4,0.30
09.max_Y,RS,PC2,0.30
05.max_rX,NB,PC2,0.30
06.mean_rX,NB,PC2,0.31
09.max_Y,FI,PC3,0.33
10.mean_Y,FI,PC1,0.35
05.max_rX,NB,PC4,0.43
10.mean_Y,FI,PC3,0.47
06.mean_rX,NB,PC4,0.51
09.max_Y,RS,PC1,0.60
09.max_Y,FI,PC1,0.62
07.max_Z,RS,PC1,0.65
17.max_eu,FI,PC3,0.68
17.max_eu,RS,PC1,0.69
07.max_Z,FI,PC3,0.71
17.max_eu,NB,PC2,0.72
13.max_FD,RS,PC2,0.75
13.max_FD,NB,PC1,0.77
10.mean_Y,RS,PC1,0.77
09.max_Y,NB,PC4,0.78
15.max_eu_rel,RS,PC2,0.78
18.mean_eu,NB,PC2,0.79
05.max_rX,RS,PC4,0.80
06.mean_rX,RS,PC4,0.80
13.max_FD,FI,PC1,0.81
11.max_X,RS,PC3,0.82
15.max_eu_rel,NB,PC1,0.83
11.max_X,NB,PC3,0.84
03.max_rY,RS,PC5,0.85
01.max_rZ,FI,PC2,0.85
01.max_rZ,NB,PC3,0.85
05.max_rX,FI,PC5,0.85
08.mean_Z,RS,PC1,0.86
15.max_eu_rel,FI,PC1,0.86
01.max_rZ,RS,PC3,0.87
11.max_X,FI,PC2,0.87
12.mean_X,NB,PC3,0.87
02.mean_rZ,NB,PC3,0.88
07.max_Z,NB,PC2,0.88
18.mean_eu,FI,PC3,0.88
12.mean_X,RS,PC3,0.89
18.mean_eu,RS,PC1,0.90
02.mean_rZ,FI,PC2,0.90
03.max_rY,FI,PC4,0.91
